QueryText,KccAns
#   INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,SPRAY OF STOMP 30 EC @ 1 LITRE IN THE 200 LITRESOF WATER/ACRE AT PRE-EMERGENCE STAGE.
weather newther of Amritsar,Sunny weather of Amritsar
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,"The improid Variety of [Spring/Summer] Bhendi-: Punjab-8, Pusa Savani, Pusa Padmini, Punjab 7."
information regarding weather condition?,NO chances of rainfall today.
YELLOWING OF LEAVES OF GRAM?,SPRAY BAVISTIN 200 G IN 200 LITRES OF WATER PER ACRE.
aphids problem in wheat crop?,sprey confidor@ 100ml /100liter of water/acre
information regarding to control of maize borer in maize,spray of cypermathrine 10 e.c. 40 m.l.+80-100 ltr water /acre in maize
information regarding to control of maize borer in maize,Into
#  INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,"FIRST IRRIGATION SHOULD BE GIVEN JUST AFTER TRANSPLANTING AND LATER IRRIGATION AFTER 7-10 DAYS
INTERVAL DURING SUMMER AND10-15 DAYS DURING WINTER."
WHAT IS THE AMOUNT OF UREA IN TINDA?,80 KG UREA IS RECOMMENDED.
information regarding to control of root rot  in okra,spray of bavisten 50% w.p. 200 gm +200 ltr water /acre in okra
information regarding seed rate of summer moong?,seed rate of summer moong 12-15kg/acre.
Contact No of Agricultural Science Center?,0183-2505673.
information regarding robbit market?,i told farmer plz contect 01823-503415.
problem of stem rot in barseem?,spray bavistin 400gm in 200 liters water/acre.
INFORMATION REGARDING FOR POULTRY TRAINING?,"Reffer to Gadvasu, Ludhiana @ 0161-2414045,4"
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  CAPSICUM(SHIMLA MIRCH)  SEEDLING TRANSPLANTING?,THE FERT. DOSE AT THE TIME OF  CAPSICUM(SHIMLA MIRCH)  SEEDLING TRANSPLANTING IS - DAP-40KG & MOP-12KG/ACRE.
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,SPRAY CONFIDOR @ 80 ML IN 100 LT OF WATER
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 250ML PROPICONAZOLE/ACRE IN 200LITRE WATER."
irrigation in wheat?,no need for irrigation in wheat.
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,THERE IS NO NEED TO IRRIGATE THE WHEAT.
INFORMATION REGARDING THE POULTRY.?,"REFFER TO GADVASU @ 0161-2414045, 2414046"
INFORMATION REGARDING WEATHER OF FEROZEPUR?,TODAY IS NO CHANCE OF RAIN.
information regarding dairy?,contact deputy director dairy-kashmir singh-98152-69059.
problem of white fly in peach?,spray trizophos 40ec 5ml in 1 liter water.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
information regarding dose of urea in bhindi?,dose of urea in bhindi 80kg/acre.
contact no.of animal husbandary officer?,1832536283
control of stem rot in barseam?,spray bavistin 250gm in 150lit water per acre.
fertilizers of tomato?,19-19-19[NPK]-1KG/100 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE IS-NORMAL VARIETIES-6-8 KG & HYBRID VARIETIES-3-4 KG.
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,no chances of rainfall in coming days.
information regarding to control of root rot in  chilli,bavisten 500 gm +soil /acre in chilli before irrigation
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,SPRAY ROGOR @ 2 ML IN 1 LITER OF WATER.
information regarding to control of citrus psylla in citrus,spray of 1250 m.l.tryjophose 40 e.c. in 500 ltr water /acre in citrus
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,4TH IRRIGATION 4 WEEKS AFTER THE 3RD IRRIGATION.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,:   SPRAY CONFIDOR @ 80 ML IN 100 LT OF WATER
WEATHER IN AMRITSAR?,CHANCES OF RAIN ON 10
WEATHJER REPORT FOR AMRITSAR?,CHANCES OF RAIN ON 10
problam of deflower in guava?,spray of 1 ml planofix with 4 ltr water
"control of dropping flower in lemon?
.",spray palanofix 1ml in 4.5 lit water
WEATHER REPORT IN AMRITSAR?,CHANCES OF RAIN ON 10..
#:  INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,"A:   VARIETIES OF MAIZE: PMH-1,PMH-2,JH-3459."
#     INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,A:    SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,THERE IS NO NEED TO IRRIGATE IT.
information regarding to the weather condition ?,10 april chance of rainfall.
WEED INFESTION IN SUGARCANE CROP,"- FOR BROAD LEAF WEED APPLY WEEDICIDE 2-4D (AMINE SALT) @ 800GM /225 LITER OF WATER /ACRE  FOR  DILA
STOMP @ 1 LITER/225LITER OF WATER/ACRE FOR PRE EMERGANCE."
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,"THE SEED RATE OF SUMMER MOONG-:SML 668- 15 KG, SML 832- 12 KG/ ACER."
contactno. of pau ludhiana?,1612401960
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY CONFIDOR @ 80 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP,PLS SPRAY 300ML QUNALPHOS MIX WITH 100 LITRE WATER PER ACRE."
WHICH ARE THE NEW VARIETIES OF BASMATI?,THE NEW VARIETIES OF BASMATI ARE PUNJAB BASMATI 3 AND PUSA PUNJAB BASMATI 1509.
weather information.,chance of light showers on 10th april 2013.
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,"PR-121,PR-122 NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA."
Information Regarding Jasid in Bhendi?,spray of 500 ml malathion with 100 ltr water
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,"A:  THE IMPROVED VARIETIES OF SUMMER MOONG SML 832,SML 668."
information regarding to control of stem borer in sugarcane,apply carbofuron 3g 10-12 kg /acre in sugarcane
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,"@  IRRIGATION-: THE TOTAL 3-5 IRRIGATIONS ARE REQURED,THE 1ST IRRIGAION SHOULD BE DONE AFTER
______________25 DAYS OF SOWING AND LAST IRRIGATION SHOULD BE DONE AFTER 55 DAYS OF SOWING."
information regarding to control of weed in mungbean,spray of pendimethline 30 e.c. 1 ltr +200 ltr water /acre in mungbean as apre emergence use
asking about weather forcasting,no chance of rainfall today
how are weather today?,no chance of rain
information regarding to control of bihar hairy catterpiller,spray of chlorantraniliprole 18.5 SL 50 m.l.+80-100 ltr water /acre in barseem
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,NO CHANCE OF RAINFAL TODAY.
INFORMATION ABOUT PAU NUMBER?,0161-2401960
information regarding to control of jassid in pumpkin,spray of dimethoate 30 e.c. 250 m.l.+100 ltr water /acre in pumpkin
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,THERE ARE SOME CHANCES OF RAIN AND HIGH WINDS TODAY
information regarding to new varieties of rice,"p.r.-121, p.r.-122 - new varieties of rice yield-30.5 quntl-31.5 quntl /aCRE"
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,DOSE OF UREA FOR GUAVA SIX YEAR PLANT 300GM.
INFORMATION REGARDING TO THE CONDITION OF WEATHER,NO CHANCE OF RAINFALL
TERMITS PROBLEMS IN SUGARCANE CROP,APPLY CHLOROPYRIPOS @ 2 LITER /ACRE
asking about weather forcasting,there may be chance of rainfall today
Contact no.Of pau ludhiana,0161-2401960
information regarding weather condition?,10 april Some chance of rainfall.
control of termite in barseam?,spray of choloropyriphos 1lit in 10 kg of sand per acre.
control of leaf catterpillar ?,spray of rogar 200ml in 100lit water per acre.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
information regarding weather ?,"Light rain (total 2mm), mostly falling on  night"
contact no of deputy director dairy amritsar?,kashmir singh-9815269059 contact no of deputy director dairy amritsar.
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,A:    THE SEED RATE OF MAIZ CROP [SPRING SEASON]-: 10 KG/ACRE.
WEATHER IN AMRITSAR?,CHANCES OF RAIN TODAY.
WEATHER INFROAMTION?,CHANCE OF RAIN.
BARSEEM CATERPILLAR PROBLEM?,SPRAY ROGOR OR METASYSTOX 250 ML IN 100 LITRES OF WATER EPR ACRE.
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,SPRAY ZnSo4 @ 3 GM IN 1 LT OF WATER.
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,THE SOWING TIME OF BAJRA-BEGINNING OG JULY.
information regarding to weather?,chance of rain .
information regading improved varieties of paddy.,"improved varieties of paddy:PR-122 ,PR-121,PR-118 , PR-116"
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP,PLS SPRAY  ROKO(THIOPHRNSTE METHYL)-250GM IN 120LITRE WATER/ACRE."
WEATHER REPORT?,CHANCE OF RAIN.
ASKINGH NEW VERITIES OF COTTON CROP?,NCS-855
weather of amritsar ?,Mostly dry
information regarding to new varieties of basmati rice,"pusa punjab basmati-1509, punjab basmati-3- new varieties of basmati rice"
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,DOSE OF UREA IN TOMATO 55 KG/ACRE.
Control of worm in lady finger?,spray sumicidin 100ml in 100lit of water per acre.
fruit droping problem in citrus,planofix @ 1ml/4.5 liter of water
asking about new verities of rice crop,PR-121&122
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,":  THE IMPROVED VARIETIES OF SUMMER MOONG SML 832,SML 668."
cont no of pau?,"PAU CONT NO 0161-2401960,SEED SHOP-0161-2401419"
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE)/FOLICUERE @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
information regarding to control of root rot in okra,bavisten 500 gm +soil acre in okra before irrigation
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,NO CHANCE OF RAINFALL TODAY.
FOR CONTROL PEST ATTACK ON WHEAT?,SPARY TRIAZOPHOS 350 ML/ACRE+100 LT WATER
control of stem borer?,spray coragen 60mlin100lit water per acre
information regarding to seed of rice variety?,"On 121, but 122, Pusa 1509"
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,"FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE."
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCES OF RAIN
information regarding to seed rate  of turmeric,6-8 quntl rhizome /acre for turmeric
information regarding to suitable varieties of  cotton,"ankur -3028, m.r.c.-7017,m.r.c.-7031,m.r.c.-6304, m.r.c.-6301- varieties of american cotton"
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,NURSERY SOWING TIME OF RICE CROP - 15 MAY TO 30 MAY FOR ALL VARIETIES.
CHANCES OF RAINFALL IN DIST TODAY?,NO  CHANCES OF RAINFALL IN DIST TODAY
WEATHER IN AMRITSAR?,CLEAR WEATHER CHANCES ARE THERE.
how to seed treatment of maize ?,treat the seed with carbendazim @ 3 gm per kg of seed .
information regarding cows?,provided  GADVASU number.
what is the dose of 24 D in sugarcane?,DOSE OF 24 D IS 80 G IN 225 LITRES OF WATER PER ACRE.
how to control of weed of sugarcane  ?,spray atrazin 800 gm +400 ml 2-4-d(amine salt58%) in 225 lt of water.
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY ROGOR/METASYSTOX @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,SEED RATE OF MAIZE FOR FODDER 30 KG/ACRE.
WHAT IS THE YIELD OF PR 122?,THE YIELD OF PR 122 IS 31.5 Q PER ACRE.
what is the contact number of pau?,CONTACT NUMBER OF PAU IS 0161-2401960
information regarding to control of catterpiller in tomato,spray of cypermathrine 20 e.c. 200 m.l.+100 ltr water /acre in tomato
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,"THE NEW RELEASED VARIETIES OF PADDY ARE PR 121, and PR 122  Pusa Punjab Basmati 1509."
information regarding control of weed in sugarcane?,spray atrazine @ 800 gm in 225 liters of water.
flower droping in citrus?,plinofix-1gg/4.5 litre water/acre.
INFORMATION CONTROL OF TERMITE IN WHEAT?,APPLY CHLOROPYRIPHOS 20 EC @ 1 LITER MIXED IN 12KG SAND/ACRE.
information regarding to control of seed rate of fodder maize,25-30 kg seed /acre in fodder maize
flower droping problem in citrus,sprey planofix @ 1ml/4.5liter of water
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,IMPROVED VARIETY OF TEOSINTE :TL 1.
information regarding to seed rate  fodder maize,25-30 kg seed /acre for fodder maize
NEW VARIETIES OF RICE?,"NEW VARIETIES OF RICE PR 121,PR 122."
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,NO CHANCE OF RAINFAL TODAY.
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,THE SOWING TIME OF GREEN GRAM(MOONGI)-FIRST WEEK OF JULY MONTH.
information regarding to  control of jassid in wheat,spray of thiomethaxam 20 gm +100 ltr water /acre in wheat
wheather in amitsar?,rain chance-10%.
ASKING ABOUT WEATHER FORCASTING?,NO CHANCE OF RAINFALL
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,:    SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
wheather of dist today?,no chances of rainfall
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,SPRAY INDOFIL M-45 @600GM IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY CHANCES OF RAIN
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP,PLS SPRAY 300ML QUNALPHOS MIX WITH 100 LITRE WATER PER ACRE."
information regarding dose of urea in onion?,dose of urea in onion 90kg/acre.
INFORMATION REGARDING CHANCE OF RAINFALL?,NO CHANCE OF RAINFALL .
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP,PLS SPRAY KOCIDE(COPPER HYDRO XICHLORIDE)-500GM+2 PCS STREPTOCYCLENE IN 150LITRE WATER/ACRE."
information regarding to control of collar rot in okra,spray of bavisten 50 w.p. 200 gm +200 ltr water /acre in okra
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Mostly dry. Warm (max 37掳C on Tue afternoon, min 24掳C on Sun night). Wind will be generally light."
WHAT IS THE DATE OF SOWING OF RICE?,THE DATE OF SOWING OF RICE IS FROM 1 MAY
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,SPRAY ROGOR @ 150 ML IN 100 LITERS OF WATER/ACRE.
problem of flower droping in chilli?,spray bavistin 2gm in 1 liter water for the control of flower droping in chilli.
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,SPRAY ROGOR @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,SPRAY ROGOR/METASYSTOX @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
VARRITIES OF RICE?,"PR-121,PR-122,PR-118,PR-116."
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?",:   SPRAY OF MALATHION @ 400 ML IN 100 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUNILPHOS] @ 800 ML IN 100 LITRES OF WATER/ACRE.
Qury-weather of amritsar ??,Ans-Cloudhy weather no chance for rain.
information regarding to new variety of rice?,"On 121, but 122, Pusa 1509"
CHANCE OF RAINFALL TODAY.,NO  CHANCE OF RAINFALL TODAY
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY.
control of catterpillar ?,spray alphametrin 250ml in 150lit water per acre.
how are weather today?,no chance of rain.
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE  NEW VARIETIES OF RICE PR 121,PR 122."
#  INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,PR121-PR122
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,SPRAY OF MAILATHION @ 400 ML IN 250 LITER WATER.
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,LATEST VARIETY OF JOWAR CROP IS SL-44 AND SEED RATE IS 20-25 KG PER ACRE
ASKING ABOUT WEATHER FORCASTING?,NO CHANCE OF RSAINFALL TODAY.
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,SPRAY CONFIDOR @ 80 ML 100 LITERS OF WATER/ACRE.
INFORMATION REGARDINDING TRAINING?,"I TOLD FARMER PLZ CONTECT PAU LUDHIANA ,0161-2401960."
information regarding nursery sowing time of paddy ?,nursery sowing time of paddy-15 may to 30 may for all recommended varieties.
YELLOWING OF LEAVES OF GUAVA?,SPRAY BAVISTIN 200 G IN 200L LITRES OF WATER PER ACRE.
WHAT IS THE VARIETY OF MAIZE?,THE VARIETY OF MAIZE FOR FODDER IS J 1006.
information regarding planting time of brinjal?,planting time of brinjal: april.
INFORMATION REGARDING GOAT FARMING?,I TOLD FARMER PLZ CONTECT GADVU LUDHIANA:0161-2414045.
varrities of rice?,"pr-121,pr-122,pr-118."
CHANCES OF RAINFALL ?,NO CHANCES OF RAINFALL
INFORMATION REGARDING FOR THE DISEASE OF COW?,PLS CONTACT -0161-2414042(PAU-LUDHIANA) & 1800 180 1199(NDRI-KARNAL).
information regarding animals?,01832536283 amritsar.
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),"THE SOWING TIME OF ASH GOURD-: 1.FEB-MARCH, 2.JUNE-JULY."
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,"FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP,PLS SPRAY 500ML CHLORO.+100 ML CYPER. MIXWITH 120 LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,"FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,"FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP,PLS SPRAY FAME 480(FLUBENDAMIDE)-30ML OR CORAGEN(CHLORANTRANILIPROLE 18.5% SC)-60ML IN 200LITRE WATER/ACRE."
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?","FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP,PLS SPRAY-200GM METHOMYL 40%SL /ACRE IN 150LITRE WATER."
information regarding to catterpiller?,spray of lannate 200g in 100l water
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,"FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP,PLS SPRAY 200ML LAMBDA CYHALOTHRIN MIX WITH 150LITRE WATER/ACRE."
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,SPRAY OF TRIAZOPHOS 40 EC @ 600 ML OR ROGOR 30 EC (DIMETHOATE) @ 100 ML OR METASYSTOX 25 EC
CONTACT NO. OF ANIMAL HUSBANDRY?,0183-2536283
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3.
SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
